CID,SMILES,Activity_Binary
13816,Cc1cc(-c2ccc(/N=N/c3cc(S(=O)(=O)O)c4ccccc4c3N)c(C)c2)ccc1/N=N/c1cc(S(=O)(=O)O)c2ccccc2c1N,1
86173,CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,1
2734237,CCCCCCn1cc[n+](C)c1,1
6918543,C=CCNc1nc(NCC=C)nc(N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n1,1
65340,NCCc1ccc(O)c(O)c1,1
13266,NC(N)=N/C(N)=N/CCc1ccccc1,1
7547,O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(Cl)c1,1
6708701,CC12C(=O)OC(=O)C1(C)C1CCC2O1,1
8152,CCCCCCCCCCCC[N+](C)(C)C,1
61080,O=C(O)CC(O)(CC(=O)O)C(=O)O,1
5590,CC(C)(C)CC(C)(C)c1ccc(OCCO)cc1,1
2406,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O,1
55283,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,1
135400471,O=C(N/N=C/c1ccccc1O)c1ccncc1,1
71208,Cc1ccc(O)c2ncccc12,1
154914,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3,1
54911,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,1
23705,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,1
9719,O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(C(F)(F)F)c1,1
4936,C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1,1
2817,Oc1ccc(Cl)c2cccnc12,1
175533,CCCCCCC[N+](CC)(CC)CCCCc1ccc(Cl)cc1,1
62097,CCCCNC(=O)OCC#CI,1
5282229,CC(C)=CCC/C(C)=C/CC/C(C)=C/C(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,1
24944555,CCCCCCCCCCCCCCCCCCn1cc[n+](C)c1,1
62738,Cc1ccc(S(=O)(=O)C(I)I)cc1,1
74989,O=C1C(=O)c2ccccc2C(O)=C1C1CCC(c2ccc(Cl)cc2)CC1,1
17110,CCCCCCCCCCCCN=C(N)N,1
6167,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,1
24405,CC(C)=CCNc1ncnc2c1ncn2C1OC(CO)C(O)C1O,1
6436079,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=O)C(C)(C)CCC1,1
91771,O=c1c(C2CC(c3ccc(-c4ccc(Br)cc4)cc3)Cc3ccccc32)c(O)sc2ccccc12,1
7255,Cc1ccc(N)cc1Cl,1
43032,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,1
147912,CCC(C(C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O,1
6433339,CC[N+](CC)(CC)CCOc1ccc(/C=C/c2ccccc2)cc1,1
10113978,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,1
47936,C=CC1(C)CC(=O)C2(O)C(C)(O1)C(OC(C)=O)C(O)C1C(C)(C)CCC(O)C12C,1
65620,Cc1ccc2c(Br)cc(Br)c(O)c2n1,1
74990,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC,1
34665,Nc1nc(CC(=O)O)cs1,1
71764,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC,1
8607,O=C1c2ccccc2C(=O)N1SC(Cl)(Cl)Cl,1
2753,CN(C(=O)CCCOc1ccc2[nH]c(=O)ccc2c1)C1CCCCC1,1
24809526,Fc1ccccc1C(F)COC1CCC(Nc2ncnc3[nH]ncc23)CC1,1
10041070,C=CCC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C=CC21C,1
3019305,Nc1nc2ccccc2n1Cc1ccc(F)cc1,1
7768,O=C1CCCCCN1,1
104610,CCOC(=O)N1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,1
8478,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1,1
10943,Clc1cccc(Cl)c1,1
119175,Cc1nnc2n1-c1sc(CCc3ccc(CC(C)C)cc3)cc1C(c1ccccc1Cl)=NC2C,1
2336,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,1
62960,NC1C2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)CC12,1
12902,CC(C)(C)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,1
5265,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,1
460612,NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,1
68186,O=C1NCN(c2ccccc2)C12CCN(CCCOc1ccc(F)cc1)CC2,1
46780884,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,1
2722,Oc1c(Cl)cc(Cl)c2cccnc12,1
3062316,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,1
68604,Cc1nc2n(c(=O)c1CCN1CCC(C(=O)c3ccc(F)cc3)CC1)CCS2,1
7699,CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,1
68589,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,1
8813,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,1
34313,Cc1oc(C)c(C(=O)Nc2ccccc2)c1C,1
15981450,Cc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(Oc3cccnc3C)nc1)CC2,1
13961743,COc1ccc2sc(C(=O)Nc3nnn[nH]3)c(OC(C)C)c2c1,1
2788,Oc1c(I)cc(Cl)c2cccnc12,1
14250,CCCCCCCCCCCCCC[N+](C)(C)C,1
992,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1
27465,Nc1cc(Cl)c(-c2cc(Cl)c(N)cc2Cl)cc1Cl,1
11852,Oc1c(Br)c(Br)c(Br)c(Br)c1Br,1
31280,CCCCCCCCCCCCCCCC[N+](C)(C)CC,1
130990,CCCCCCCCCCCCCCCCCCNC(=O)OC1CCN(C(=O)OCC(COC(=O)N(Cc2cccc[n+]2CC)C(=O)c2ccccc2OC)OC)CC1,1
21013,Oc1cc(Cl)c(Cl)c(Cl)c1Cl,1
71622,CCCc1ccc(OCC(=O)N2CCN(C(=O)COc3ccc(CCC)cc3OC)CC2)c(OC)c1,1
4659569,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,1
92140,CCCC(=O)OCC(OC(=O)CCC)C(OC(=O)CCC)C(Cn1c2nc(=O)[nH]c(=O)c-2nc2cc(C)c(C)cc21)OC(=O)CCC,1
42574,Cc1cc(C(C#N)c2ccc(Cl)cc2)c(Cl)cc1NC(=O)c1cc(I)cc(I)c1O,1
406563,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,1
443375,CN1C(=O)C(NC(=O)c2cc3ccccc3[nH]2)N=C(c2ccccc2)c2ccccc21,1
7594,N/C(=N\c1ccccc1)Nc1ccccc1,1
5284373,C/C=C/CC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C,1
10201497,COc1ccc(C(=O)Nc2nc3ccccc3c(NCc3ccccc3)c2C#N)cc1,1
6001,Cc1c2ccccc2c(C)c2c1ccc1ccccc12,1
11254899,CCCC[n+]1ccc(C)cc1,1
24466,Cc1nc(N)nc(N)c1-c1ccc(Cl)c(Cl)c1,1
3307,CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl,1
8305,O=S(=O)(c1ccc(Cl)cc1)c1cc(Cl)c(Cl)cc1Cl,1
2754,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,1
17693,O=C(Nc1ccc(Cl)c(Cl)c1)C1CC1,1
27812,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C=CC21CC,1
8154,CCCCCCCCCCCCCCCC[N+](C)(C)C,1
6237,CCc1oc2ccccc2c1C(=O)c1cc(I)c(O)c(I)c1,1
76302,Oc1ccc(C(c2ccc(O)cc2)C(Cl)(Cl)Cl)cc1,1
3728,Oc1c(I)cc(I)c2cccnc12,1
2333,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,1
86138,N#CC(CCc1ccc(Cl)cc1)(Cn1cncn1)c1ccccc1,1
161803,O=C(COc1ccc(Cl)cc1)N1CCN(Cc2ccc3c(c2)OCO3)CC1,1
3016,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,1
71693,c1ccc(OCc2ccc(CCCN3CCOCC3)cc2)cc1,1
11957725,c1cc(CN2CCCCC2)cc(OCCCNc2nc3ccccc3s2)c1,1
151194,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,1
13636,Oc1c(Cl)c(Cl)cc(Cl)c1Cl,1
2734172,CCCCCC[n+]1ccccc1,1
5282215,O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccc2c(c1)NCCCC2,1
3003141,N#C/C(=C1\SCC(c2ccc(Cl)cc2Cl)S1)n1ccnc1,1
2247,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,1
7329,Oc1ccc(Cl)cc1Sc1cc(Cl)ccc1O,1
3397,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,1
91649,CC(C)(O)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,1
14425,CCCCCCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1,1
9862076,Cc1ccc(-c2c(Cl)nc(C#N)n2S(=O)(=O)N(C)C)cc1,1
11859,Oc1cc(Cl)c(Cl)c(Cl)c1,1
10868,C(=NC1CCCCC1)=NC1CCCCC1,1
14178379,O=S(=O)(c1ccc(OCc2ccccc2)cc1)c1ccccc1O,1
3884,CC(C)=CCC1=C(O)c2ccccc2C(=O)C1=O,1
206044,COc1ccc(OC(=O)N(CC(=O)O)Cc2ccc(OCCc3nc(-c4ccccc4)oc3C)cc2)cc1,1
163751,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,1
60961,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,1
17931,CN1C(=S)CN=C(c2ccccc2)c2cc(Cl)ccc21,1
2468,CCCC/N=C(\N)N=C(N)N,1
3712,OCc1c[nH]c2ccccc12,1
68385,COc1cc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc(OC)c1OC,1
108005,O=[Cr](=O)(O)O[Cr](=O)(=O)O,1
75018,COc1cc2c(cc1OC)C(=O)CC2,1
10068207,Cc1oc2c(NC(=O)c3c(Cl)cccc3Cl)cccc2c1C(C)(C)O,1
4257,O=C1NC2CCCCN2C12CCN(CCCN1c3ccccc3CCc3ccc(Cl)cc31)CC2,1
70882,CCc1cc2cc(OC)c(OC)cc2c(Cc2ccccc2)n1,1
108938,Cc1cc(-c2ccc(N)c(C)c2)ccc1N,1
100524,COP(=S)(NC(C)C)Oc1ccc(C)cc1[N+](=O)[O-],1
5388977,CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(c1ccccc1)N(C)C,1
9949821,CC(C)c1nnc2ccc(-c3ocnc3-c3cc(F)ccc3F)cn12,1
2769,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC,1
357904,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)C1c1cccc([N+](=O)[O-])c1,1
5480,CCOC(=O)c1c(N)sc2c1CCN(Cc1ccccc1)C2,1
19402,O=C1c2ccccc2C(=O)C1C(=O)C(c1ccccc1)c1ccc(Cl)cc1,1
3151,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,1
91708,O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(Oc2ncc(C(F)(F)F)cc2Cl)c(Cl)c1,1
65948,CC1=C(C(=O)OC(C)C)C(c2cccc([N+](=O)[O-])c2)C(C(=O)OC2CN(C(c3ccccc3)c3ccccc3)C2)=C(N)N1,1
85025,c1ccc(C[n+]2cccc3ccccc32)cc1,1
86398,N#Cc1c[nH]cc1-c1cccc2c1OC(F)(F)O2,1
59757,COc1ccc(-n2nc(CCC(=O)N(C)O)cc2-c2ccc(Cl)cc2)cc1,1
12898,Cc1ccc(N(SC(F)(Cl)Cl)S(=O)(=O)N(C)C)cc1,1
14842,Cc1cc(OCCOCC[N+](C)(C)Cc2ccccc2)ccc1C(C)(C)CC(C)(C)C,1
4493,CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O,1
3037,Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,1
5284439,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,1
4931,CC(C)N(C(=O)CCl)c1ccccc1,1
11626384,OC(CNCC(O)C1CCc2cc(F)ccc2O1)C1CCc2cc(F)ccc2O1,1
73675,C[Si](Cn1cncn1)(c1ccc(F)cc1)c1ccc(F)cc1,1
60196408,CCN(Cc1cccnc1)C(=O)c1cccc(Cl)c1C1(C)C(=O)N(Cc2ccc(OC)cc2OC)c2ccc(Cl)cc21,1
20113,CC(C)(c1cc(Br)c(OCCO)c(Br)c1)c1cc(Br)c(OCCO)c(Br)c1,1
51605,CCOC(=O)NCCOc1ccc(Oc2ccccc2)cc1,1
67274,COc1ccccc1NC(=O)c1cc2ccccc2cc1O,1
62829,C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,1
2723853,CNC(=S)NN,1
11723708,CC(C)c1cccc(C(C)C)c1N1C(=O)c2ccc(O)cc2C1=O,1
2374,CC(C)(C)c1cc(O)c(C(C)(C)C)cc1O,1
9865233,CC(C)(O)c1cnn2c(-c3ccc(F)c(-c4c(F)cccc4C#N)c3)cnc2n1,1
7005,Oc1cccc2ccccc12,1
6433119,O=C(NCC1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,1
5074,Cc1nc2sccn2c(=O)c1CCN1CCC(=C(c2ccc(F)cc2)c2ccc(F)cc2)CC1,1
5591,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,1
192197,CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,1
150762,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN2CCN(C(c3ccccc3)c3ccccc3)CC2)C1c1cccc([N+](=O)[O-])c1,1
5311217,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1/C=C/C(=O)OC(C)(C)C,1
214348,O=C(O)c1ccc(-n2nc(-c3ccccc3O)nc2-c2ccccc2O)cc1,1
55245,CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)C)cc3)CC21C,1
35375,O=C(OCCOCCO)c1ccccc1Nc1cccc(C(F)(F)F)c1,1
3957,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,1
28417,C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,1
5702162,CC(NCCC(c1ccccc1)c1ccccc1)c1ccccc1,1
32872,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,1
7264,Cc1ccc(O)c(N)c1,1
3168,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,1
60662,COCC(=O)OC1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2C1C(C)C,1
91673,CCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,1
71777,O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(OC(F)(F)C(F)C(F)(F)F)cc1Cl,1
11860,Nc1cc(Cl)c(N)c(Cl)c1,1
5723,COc1cc(-c2ccc(=O)[nH]n2)ccc1OC(F)F,1
16362,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,1
31202,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,1
64139,O=C1Nc2ccc(Cl)cc2C(C#CC2CC2)(C(F)(F)F)O1,1
4847,Cc1nc2ccccn2c(=O)c1CCN1CCC(C(=O)c2ccc(F)cc2)CC1,1
169870,CCCCCC(=O)OC1(C(C)=O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,1
20054967,CCCCC/C=C/C/C=C/CCCCCCCC(=O)NC(C)c1ccccc1,1
11159021,O=C(NCc1ncc(C(F)(F)F)cc1Cl)c1c(Cl)cccc1Cl,1
7452,O=[N+]([O-])c1cccc([N+](=O)[O-])c1,1
3552,O=C(O)c1ccc(S(=O)(=O)N(Cl)Cl)cc1,1
